clean_message,sentiment
bhi koi bhai behn internship ya job ke rhi hen data scienc ki kindli apna experi share kr den,Positive
kabil koi nhi hota kern se hi aata hai intern kert hi iss liy hain k kuch kerna ae aur experi gain ho,Neutral
bro khud pe believ apni machin pe nhi ram lgwai pese jama kr kr k ssd bhi lgwai phir bhi dl pe aa k ruk giya hon machin load nhi brdasht kr skti itna cv ka bs lectur le raha hon smjh raha hon,Neutral
data scienc ki field mei ae month hi huay hain mostli yaha per beggin hi hoon gai,Positive
chlo koi nhi mehnat krti jati hen allah rasta bhi dikha de ga sha allah,Neutral
new member ask discord link anyon help,Positive
w,Neutral
,Neutral
anyon ji ny mjhi follow kiya hy mjhi mention krki bta dy follow back,Neutral
chk,Neutral
brother ap ibrahim qasmi ho,Neutral
ap hain kon,Neutral
g,Neutral
ye follow back,Neutral
student codan,Neutral
ap ny mjhi follow kiya hua hy mne bhi tahabutt,Neutral
okk,Neutral
asalam alaikum everyon,Neutral
,Neutral
assalam alaikum,Neutral
provid feedback today,Neutral
well provid feedback today,Neutral
right everi one yehi chah rha ke sirf uski notebook pa upvot ayen grow togeth kid ki trhan sochna chor deyn team support krn ek dusri ko meri apni notebook pa idhr se bs jo close hain unhi ke upvot hain,Positive
buhut zabardast baat ki hai aur buhut matur baat ki hai realli proud abdullah bhai,Positive
problem,Neutral
ye commun bnai hi ku ha,Neutral
ba kuch log ha jo activ ha khud bhi kam kar kar rahe dosro ky kam ko bhi support kar rahe ha,Negative
baki yar iss group ka kia maqasad tha everryon,Neutral
sai baat ha,Neutral
bilal bhai yar thora wait kr liya karein banda kisi wqt busi b hota hy ap khud b jazbaati ho jati hein sath baqi nojawaano ko b kr deti hein,Neutral
bilal bhai ap ka upvot nhi aya abi tk mehak ki notebook py fair,Negative
maze ye k sirf notebook open kr k upvot kr dena hi kafi nhi hota code ko detail mein read kr k comment karna chahye takay ap k sath sath comment karni wali ko b faida ho,Neutral
nahi bhai,Neutral
yaar meri sari notebook ka yahi haal hain hai lol,Positive
actual aim,Neutral
bhai ghoor say dekho,Neutral
honest havent seen anyon read everi bit code like usman provid feedback that best way learn,Positive
mai uf mere sath bhi mai,Negative
ny dekh k hi messag kiya tha lekin shayad nazar weak ho gai hy meri age ho gya hun na,Negative
bhai jan ap ne rule nahi share kiy idhr,Neutral
mai khud bhi zayda tar comment tabhi karta hu jab pata chal kia ha notebook mein,Neutral
,Neutral
esi adat ki wja sy agr kisi ki notebook mein ak line b copi ki hoi hoti hy pta chal jata hy phir us notebook py koi critic comment karni ki bjaay comment na karna behtar samajhta hun warna kafi log naraz ho jain gy,Neutral
exactli,Positive
sabs behtreen baat hi ye ha,Neutral
know complain ppl take code,Neutral
issi indirect faida apka ha,Neutral
problem copi idea code believ credit given also mayb build top idea code provid reason take what goal,Positive
sirf ye baat kr rha hun k jin ki notebook py comment nhi kr ska bawjood un k group mein bar bar request karni py b,Neutral
agre,Neutral
comment kernay say engag barthi hai,Neutral
well explain abdullah,Neutral
,Neutral
vote notebook agur kisi bnda ko code ki samjh nae rahe mean jo chezain ap na use ki hein like tensorflow kera etc wo seekh raha hakia ussa vote krna chaheajo bohat lag kr raha ha,Negative
kafi log apni notebook upload kr raha heini group hr bnda upload kra bnte bheinapka khyal aik bnda vote kr skta ha,Neutral
aisa nahi ha,Neutral
baki upvot sab ko karein,Neutral
jo samjh aay uski bari mein comment,Neutral
upvot everi notebook sent,Neutral
baki mai bhi raha bilal bhai abdullah sy ky koi meet rakhni chahy zoom mein ji mein hum apni notebook ka bataein startegi ta ap log bhi samjh saki jo point doubt ha,Negative
decid time day tri best,Positive
point,Neutral
hanji,Neutral
bhai ap hi koi time decid kr len bilal bhai abdullah rizwan senior sy meet zoom googl meet,Negative
upvot ky liy kam sy kam hour ka time span rakhi keh everyon upvot within hour,Neutral
usman bhai ny jo credit ki bat ki hai wo thek hai,Neutral
avail pakistan time midnight work avail work paid googl meet record session also,Positive
bilal bhai ap ny hamari raato ki nend uraai hoi hy baba g k sath mil k,Neutral
yar muji jo b notebook nazar ati hy ji mein baba g ki photo attach ho,Neutral
bilal bhai pakistan mai internet ka kabara hova pra din se class nhi li ja rhi internet mar mar k ata p se oooper ki video chlti nhi rat ko,Neutral
nowaday shark attack daili,Neutral
ye shark polit parti se mili hoi hen,Neutral
chaley koi baat nahi app kay liy record ker leng,Neutral
shukriya bilal bhai,Neutral
shark attach,Neutral
pichli dino khabar aai thi k agli month internet khrab rhi ga us mai jo cabl line aa rhi hen samandar se us mai koi issu btaya,Neutral
pta ny hath kharri kr diy keh ham internet ki consist ky liy kuch ni kr skti filhal,Neutral
jab tak elect nhi ho jati internet nhi chlni dena politician ne,Neutral
pta ki jaibi bhar gai hen peso se unhi awam ki fikr kaha,Neutral
lgta shark bi ai janti hai jo usi srf pakistan ki cabl nazar aati hen,Neutral
bahot sy onlin busi ka kam khrab hua freelanc project wqt par deliv ni kr paa rhi due issu,Negative
meri studi bhi internet py busi bhi internet py mere liy boht preshani bni pri,Negative
situat guy issu remot job,Neutral
busi,Neutral
allah pak hamari mulk py reham kri jo iqtedar hen un ko smjh ata kri ta keh wo log awam ki mushkilat ko smjh sky amen,Neutral
product sell,Neutral
ameen,Neutral
individu ksi platform ky sath,Neutral
elect tak phir us se agli month bat py roli rehni us parti ne dhandli ki us parti ne dhandli phir dharni start ho jay gy us k bad sha internet thik ho jay,Negative
fb pe ad run krta hon,Neutral
allah pak behtr kri gy,Neutral
sha allah,Neutral
g bs allah hadayat de sab ko,Neutral
platform pe chlti chlti kahi saal lag jati invest bhi achi chahiy hoti ye kam thik invest bhi munasib jaldi kam start ho jata,Neutral
mei famou ho gae,Positive
hmmm koi baat nhi ap ka work acha hai tu bht jald upvot bhi berh jae gai,Neutral
hmm zaroorat hai unhi gor se dekhnay ki,Neutral
shayad kaam acha nahi hai mera lol,Positive
work acha hai ap ka,Neutral
shukriya,Neutral
asslam alaikum,Neutral
baki apka upvot,Neutral
ml ke liy alag banao gaialiy zayda kam nahi kiya model par,Neutral
wait repli,Neutral
wait abdullah bhai apki notebook origin notebook dono sham tk send karta hun group mein,Neutral
ok,Positive
intezar rahe ga,Neutral
messag delet,Neutral
asslam alaikum,Neutral
,Neutral
assalamualaikum,Neutral
upvot kardiya wil lreview go soon,Neutral
ek group kr len kindli ek hi msg dono group mai jata,Positive
okay thank,Positive
sab log upvot karein,Neutral
danish bhai,Neutral
koi onlin ji ne competit ki file submit krai ho,Neutral
yup,Neutral
mene kaggl pe bank churn dataset ki file bna li ab submit kese krna,Neutral
end pe submissiion file wala code bhi run kiya jo sir ne kiya tha,Neutral
phr submit save hu gayi ha,Neutral
yani wo apk folder mein ha,Neutral
ap phr competit jay ri corner mein black colour mein submit wala option hu ga,Negative
waha ap submit karlein,Neutral
kaggl pe run kiya wo kaha save hoi ho gi,Neutral
apki id mein,Neutral
ap ss bhej sakti,Neutral
g bhejta hon,Neutral
run karein,Neutral
phr share wali option mein ja kar public karein agar sir ko add karna ha waha sir ki id se unka name copi karki likho select karlo option hu side par view jab ap us par click karo gy edit wala select kardena,Neutral
phr save version kardena,Neutral
phr kuch mint notebook run hu gi apki notebook publish hu jay gy,Neutral
ap phr bhi set dekh sakti ha,Neutral
pehli run karna ta ky koi error na aye,Neutral
run kr chuka hon,Neutral
direct yaha se save publish kr de competit mai bhi add ho jay gi na,Neutral
ap ne ye voic suni hai agr nhi suni tu sunn lei phir koi problem ho tu poch lein,Neutral
thanx jinho ne help ki,Neutral
file submit ho gai,Neutral
zindagi ka pehla competit alhamdullilah score mila,Neutral
,Neutral
plz sb log upvot kr den,Neutral
sha allah congrat,Neutral
meri profil bhi level ho gai,Neutral
shukriya brother upvot kr den comment bhi plz,Neutral
due lack time koi ziyada fanci file nhi bnai jitna ho ska,Negative
congratul,Neutral
subha krn ga,Neutral
ok sab log subha meri notebook ko upvot kr dena plz,Positive
upvot comment done,Neutral
shukria,Neutral
sister,Neutral
mai khud upvot kr skta hon apni notebook ko,Neutral
gg,Neutral
ok,Positive
iss notebook ko discord per bhi tu share karay,Neutral
ok krta hon,Positive
ye,Neutral
jaha contribut show ho raha meri file mai phir waha bhi notebook expert aa jay ga,Neutral
gg,Neutral
itni khushi,Neutral
alhamdulillah got notebook expert rank kaggl,Negative
thrill announc triumph stagger accuraci mnist digit recognit dive world success,Positive
finetun llama huggingfac model come issu cuda memori kaggl colab due limit free resours,Neutral
zeeshan,Neutral
heavi,Negative
,Neutral
,Neutral
assalamualaikum,Neutral
hello,Neutral
,Neutral
fine tune mistralb text gener,Positive
pleas provid feedback upvot feedback appreci jazak allah,Positive
privat file cant see,Neutral
open link grant access,Neutral
excit news ive upload latest notebook kaggl,Positive
hey everyon,Neutral
great abdullah good work,Positive
,Neutral
notebook code,Neutral
chk updat,Neutral
mobil sy link copi kia main link copi ho gia,Positive
messag delet,Neutral
updat,Neutral
anyon,Neutral
ye,Neutral
mai ek dataset upload kiya us py licenc ka option aa raha tha waha mene unknown kr diya,Neutral
wo upload hu gaya,Neutral
ho giya ab descript likh raha hon,Neutral
west unknown sy koi masala nahi,Neutral
think wo upload hi nahi huna,Neutral
q,Neutral
karki batana,Neutral
chk karo bar,Neutral
ok abhi btata hon,Positive
,Neutral
check krna brother,Neutral
ok,Positive
ok jaldi btana ta k jo issu wo solv kr k final kron,Positive
bhai sahi ha,Neutral
koi masla nahi ha,Neutral
dataset open ho raha ko coloum wgera show hoti hen wo thik ho rhi hen meri detail thik show ho rhi,Neutral
,Neutral
dekhta hu,Neutral
ok,Positive
messag delet,Neutral
,Neutral
subha check krta hn danish bhai internet work,Neutral
,Neutral
ad paddi diseas notebook kaggl pleas review provid feedback jazak allah,Neutral
sn ky zariy plot kaggl run ni hue error aa rha tha ap kindli jab daikhi feedback diniy ga mji keh q run ni hue idea,Positive
messag delet,Neutral
ye easi,Positive
,Neutral
show data appli formula,Neutral
plz guid thnk,Neutral
ye think sir ne html ka code copi kiya tha,Neutral
tri add markdown mayb add photo,Neutral
otherwis ask chatgpt display formula markdown editor,Neutral
ok thank,Positive
z x,Negative
z fracx musigma,Neutral
messag delet,Neutral
wohi par ye copi karki past kardo,Neutral
likha jay ga,Neutral
ye wala,Neutral
pizza pizza transferlearn efficientnetb acc,Neutral
hello excit news ive craft groundbreak notebook leverag cnn mobilenetv pretrain model flower power technolog ive achiev remark accuraci recogn five differ flower type let celebr fusion ai natur beauti,Positive
sab log check karein upvot comment karein,Neutral
okay,Positive
ok brother,Positive
great note book ibrahim,Positive
,Neutral
rememb dp,Neutral
invers proport,Neutral
normal attribut,Neutral
limit infinit,Neutral
anamoli,Neutral
good idea,Positive
ok,Positive
,Neutral
,Neutral
assalamualaikum upload two notebook kaggl plz look give valuabl feedback upvot,Neutral
done,Neutral
done,Neutral
done,Neutral
done,Neutral
done,Neutral
thank,Positive
welcom,Positive
initi draft object detect use efficientdet,Neutral
refin make present soon inshaallah,Neutral
,Neutral
messag delet,Neutral
,Neutral
yeh apki id hy,Neutral
,Neutral
ok,Positive
meri muhammad naeem k name se,Neutral
kiya hova koi msla ho giya kiya,Neutral
cat vs dog transfer learn,Neutral
,Neutral
,Neutral
rizwan bhai,Neutral
inshallah,Neutral
muji bi lg rha h,Neutral
inshaallah,Neutral
allah ap sab ko mujh se pehli aor mujh se accha data scientist bna de,Neutral
ameen,Neutral
mashaallah mani mani congratul becom kaggl master,Positive
congratul,Neutral
congratul,Neutral
congratul,Neutral
abdullah bhai parti banti ha,Neutral
g g kr lyti hain masla nahi,Neutral
kaha rakhnii ha,Neutral
bahi googl meet py bji,Neutral
zeeshan onlin parti muskil ha,Neutral
chlo fr lahor chlti h,Neutral
abdullah bata dy,Neutral
ap meri pass ajo apki dawat krta hu,Neutral
nahi,Neutral
main aa jana ha bhai,Neutral
chlo chli,Neutral
your bro,Neutral
ub kaha h,Neutral
chlo puri team dy,Neutral
acha,Neutral
inshallah aa jay ha malik waal,Neutral
congratul brother,Neutral
congratul,Neutral
,Neutral
shoe vs sandal vs boot multiclass acc,Neutral
guy check live app host streamlit cloud could use student research present make wordcloud upload data,Positive
,Neutral
danish bhai ceo kaggl communitypk mani congratul becom kaggl expert,Positive
,Neutral
,Neutral
flower multiclass problem acc desnet,Neutral
,Neutral
jazak allah sir,Neutral
upload notebook sale forecast time seri use arima sarima lightgbm random forest lstm pleas explor find interest help solv client project forecast notebook easi understand look react,Positive
messag delet,Neutral
messag delet,Neutral
paddi diseas classif use efficientnetb,Neutral
tri convert streamlit app user upload data plant diseas detect use efficientnetb pretrain model get diseas detect dashboardthink,Negative
thank mei kerti hoon tri,Neutral
assalamualaikum everyon,Neutral
good keep work hard app encount error debug,Positive
plz guid sort error occur tri resolv,Neutral
,Neutral
paddi doctor train test,Neutral
hey ive creat comprehens notebook elucid intricaci texttovideo retriev use tensorflow step process load exampl video gener embed present result meticul explain,Neutral
titl amazon sale dataset eda,Neutral
titl classif bank deposit decis tree model yesno predict,Neutral
hey everyon check latest notebook tomato leaf diseas predict achiev accuraci feel free explor code let know thought feedback valuabl,Positive
ye notebook saman fatima ki hain inn ko bhi upvot comment ker dein,Neutral
messag delet,Neutral
data upload eda user upload dataset exploratori data analysi,Neutral
person brade websit,Neutral
,Neutral
recogn urdu,Neutral
nahi bhai,Neutral
,Neutral
ye train ji par huwa usko hi predict kar sakta ha,Neutral
par inshallah hum esa system banay gy,Neutral
that true find someth recogn urdupunjabihindi,Positive
inshallah,Neutral
recogn cat,Neutral
gg,Neutral
ap koi ur tri kar sakti,Neutral
ya ap visit kari class par jaha ye data train huwa ha,Neutral
alhamdulliah first code complet chatbot use meta formerli facebook larg languag model codellama fine tune code complet,Positive
ye api key kahay leni ha,Neutral
paid,Neutral
api key,Neutral
replicatecom se,Neutral
mene github repo main aik markdown file bnaee hy ji main btaya hy ke kais api lene hy free cost,Positive
use openai websit api key u gener api key use,Neutral
openai api,Neutral
api jo mrzi use kro uska issu nhi hota,Neutral
avail replicatecom codellama,Positive
lok,Neutral
meta model,Neutral
ap link send kar sakti us repo kii,Neutral
,Neutral
,Neutral
salam group member could continu learn ai data scienc due person reason plan resum learn,Neutral
learn much mashaallah,Positive
unveil evolut llm larg languag model journey time,Positive
,Neutral
,Neutral
titl fruit classif multiclass problem mobilenetv accuraci,Neutral
upload titan competit notebook kaggl pleas visit link check notebook like pleas show support upvot comment help lot,Neutral
messag delet,Neutral
excit updat achiev impress accuraci use cnn batch normal challeng class datasetcifar success highlight power cnn imag classif let keep push boundari togeth,Positive
better hy laptop par dekh waha sahi code samh aye ga compar mobil,Positive
,Neutral
messag delet,Neutral
,Neutral
,Neutral
deploy app use streamlit gener prompt offer assist travel code project user access prompt receiv support travel plan well code project platform,Neutral
launch streamlit app quick background remov imag combin data analysi expertis web app develop tri,Positive
emot analysi bidirect gru,Neutral
asalam alaikum everyon,Neutral
good work bilal bro,Positive
make bigger use ai also,Positive
inshallah work repositori,Neutral
thank ibrahim appreci,Positive
anoth app creat chatgpt clone mini version,Neutral
behtreen ha bilal bhai,Neutral
,Neutral
achi banayi ha definit tri use,Positive
keep,Neutral
gentl api use mine,Positive
,Neutral
chalo koi nahi aps udhar le lo ga kid ik,Neutral
lol ok use,Positive
aww thank,Positive
asslam alaaikum,Neutral
walikum salam bro ni abi lec ni liq,Neutral
lia,Neutral
kisi ki pata ha ky kaisi web host kart ha free flask,Positive
craft data sciencemachin learn portfolio month comprehens guid,Neutral
medium,Neutral
api remov kr deyn apni jo use kri app usi apni api use krni deyn ap ki api pe tara nhi khana awam ne,Neutral
btw nice effort keep messag edit,Positive
ajkal api ka bol bala hay,Neutral
g beshak api ko sirf apnay use ke liy use krien bethar hy,Neutral
nice bro keep,Positive
esko modifi krien na hi yeh context yaad rkh rha na hi point jawab de rha,Neutral
aoa great anyon belong lahor,Positive
could tri pythonanywherecom,Neutral
paid,Neutral
use free,Positive
think first time free huta ha,Positive
tell method,Neutral
deploy via github pythonanywher also deploy use github,Neutral
tri github page also,Neutral
pora din laga raha hu,Neutral
realli,Positive
ap free hu jao aps sahi tarah sara tareeka pochta hu,Positive
hmmm,Neutral
kuch paid ha,Neutral
kuch ka samjh nahi aya,Neutral
dont worri look,Neutral
messag delet,Neutral
note book text preprocess nlp basi step preprocess textual data,Neutral
topic,Neutral
messag delet,Neutral
unveil fascin histori neuron,Positive
asalam alaikum flask app dall,Neutral
mindblow effort,Neutral
good,Positive
oh thank rizwan mean alot,Neutral
karta hu check,Neutral
good work bro keep,Positive
bhai ap kab bana rahe,Neutral
kia,Neutral
mai ap kab banao gy,Neutral
inshallah bht jld work kr rha hu,Neutral
ap ny bna li,Neutral
baataya ha,Neutral
bana li thi usko deploy nahi kiya,Neutral
dall wali buhat buhat alla bani ha problem ha ur dosra key nahi ha,Neutral
key bilal bahi sy ly lo,Neutral
refer,Neutral
nahi bhai nahi bhai,Neutral
bilal like,Neutral
,Neutral
es post ke cmnt read krni thi,Neutral
,Neutral
saw ye stop code,Neutral
,Neutral
ceo much inspir bhai bhai languag indian guy made hey though make brother brother languag everi thing ok,Positive
alway need program languag simpl u say make program languag easi like develop deveolp python totali simplest share thought feedback,Positive
,Neutral
,Neutral
select interpret likho,Neutral
ap anaconda prompt open kren seper,Neutral
us pr conda command run kren environ bnaen,Neutral
ok,Positive
apka main issu ya ha ka interpret connectshow nae ho raha jupit notebook,Positive
vo btaya h ap variabl path chang kri meri sath bi issu tha,Neutral
search bar variabl likhi ap,Neutral
fr next ss bhjiy ga us path ka option ho ga,Neutral
messag delet,Neutral
twitter bi,Neutral
pakistan world,Neutral
twitter work kr rha thi vpn pa,Neutral
mera ni kr rya,Neutral
data analyt skill,Neutral
abi ye error aa rha h,Neutral
ap ne path theek nhi diya ji name se folder file hai weas hi likhi hai ap ne check karay,Neutral
ye termin mei hi ker rhe hain na sb,Neutral
forward slash ka use ker k dekhay,Neutral
ok,Positive
ok,Positive
basi introduct imag data augment,Neutral
chest xray xception,Neutral
,Neutral
nice abdullah look work quit profession,Positive
jazak allah bilal bhai,Neutral
nice bro,Positive
jazak allah zeeshan bhai,Neutral
zeeshan bhi jag raha ha,Neutral
ab inshallah jagta rho ga,Neutral
acha bro,Neutral
welcom ajo dedar krwa jao,Positive
masshallah,Neutral
hour onlin,Neutral
yup boy,Neutral
deciph big data technolog ecosystem comprehens explor,Neutral
let discuss,Neutral
titl sentiment analysi lstm accuraci,Neutral
struggl text data here handl,Neutral
messag delet,Neutral
asalam alaikum,Neutral
that great bilal saw first time honestli wordcloud action,Positive
aaj tu buhut mistak ho rahi hain,Neutral
haha,Positive
,Neutral
aj lagta neend nhi mukam kii,Neutral
bhai ye group mein na bhejo karo,Neutral
admin hu ap yar,Neutral
bilqul bhi nahi porri,Neutral
bhai admin hun tbhi pyaar bant rha hn,Neutral
id action whisper train kinet video guru see,Positive
replac abdullah bro,Neutral
,Neutral
tuji khait h aj,Neutral
mafi dy,Neutral
amaz,Positive
congrat bro,Neutral
great news,Positive
congrat ibrahim,Neutral
congratul,Neutral
congratul,Neutral
bhai parti yess krwao,Neutral
meri upvot bhi puray hain liken jo account warn ayi us ki wajah se silver medal nahi mil rhi wrna ibrahim aj akhti celebr krti,Neutral
warn,Neutral
upload chatgpt content kaggl remov give kind account warn,Positive
upvot aa rhi liken medal nhi mil rhi,Neutral
congrat bruhh,Neutral
congratul brother,Neutral
congratul mrlimit edit,Neutral
,Neutral
oh thank share guy care,Neutral
care kaggl discuss section remov content gener llm everyon,Negative
,Neutral
congratul,Neutral
laptop hai iss liy thori dair mei dekho gi,Neutral
thank support,Neutral
iss mei thank ki kiya zaroorat hai,Positive
messag delet,Neutral
notebook extraordinay,Neutral
thank,Neutral
congratul,Neutral
pleas upvot comment notebook,Neutral
member hain es group kindli daili kuch na kuch share kia krien kaggl account bany linkdin profil bany,Neutral
hmi bi koi kr dia kri meri upvot hti,Neutral
one main big issu kuch memeb esi hain jinhon ne kaggl pa abhi tk kuch work start hi nahi kii aur un ko bhi chahiy ke work shuru krien un ka khud ka bhi nuqsan hain aur secondli kaggl un ke upvot bhi count nahi krta,Neutral
assalmo alikum,Neutral
wsalam kitna kr lia huwa ap ne,Neutral
think live lectur ap sir ke sth sth kr rhi hain,Positive
abi machin learn complet kia h,Neutral
live shoro kia tha per nai ker saki continu,Positive
ap ml ke project ku nhi kr rhi practis zayda zarori hy na,Neutral
lakin ml clear ho gaya kafi achey sey samjh aa gai,Neutral
g ab shoro karo gi,Neutral
jo lectur ya concept seekhien usi phli implement bhi krien agi move krien wrna wo bhool jay ga,Neutral
ok start krti hn,Positive
kafi lag kr raha houndil krta ha ka ap logoun ki trah kaggl pr data upolad kronap logon sa discuss kren level bohat kum hakia krna chahea,Neutral
ap bs apna kam krti jay kuch week mai ap bhi level py hon gy,Neutral
first idhr sab begnin hi hain feel free discuss anyth dekhien jab tk ap seekhien gye nahi krien gye nahi achiv someth sab ap wali stage se guzar ke hi idhr ayen hain notebook dekhien random logon ki unka kam dekhien phr khud tri krien na smjh aye discuss krien discuss se concept aur clear ho jatay hain,Neutral
kabhi bhi apn ap ko kum nhi smajhtay yaha per sb hi seekh rhay hain,Neutral
es tran hi sochien gye ap hamesha idhr hi stuck reh jayen gye,Neutral
yaha expert rank py kuch hi hen baki sb beginn hi hen yaha sb mil k grow kr rhi hen ek dosri ko support kr k,Negative
hmm bilkul,Neutral
discuss se bht benefit ho ga bht cheezein clear hoon gi tu bss kert jae,Neutral
bhai mera level tha start cours decemb,Neutral
,Neutral
done,Neutral
,Neutral
,Neutral
bhai upload bhi kuch kiya karo,Neutral
ap logo kia lagta ha silver iss liy milta warm,Neutral
an noo messag edit,Neutral
khudi question khudi awnser sasti chara ke sasati side effect,Neutral
bhai ap log ye sochi ky warn sy silver nahi milta ta ya reach ap ghalat hu,Neutral
ye mai keh raha tha bro,Neutral
hami gumrah hi rehi bahi,Neutral
nahi yar ap log ko mai send karo ga asal waja huti ha kia,Neutral
ok,Positive
ky otha h,Neutral
koi bata skta h k sir onlin likhti h wo ki trha hota h,Neutral
